match_id,fecha,liga_id,casa,mercado,lado,cuota,cosechado
1336368634,2026-08-24T17:30:00.000Z,119924,20Bet,Both Teams To Score,Yes,1.97,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,20Bet,Both Teams To Score,No,1.84,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,All British Casino,Both Teams To Score,Yes,1.92,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,All British Casino,Both Teams To Score,No,1.78,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Mostbet,Both Teams To Score,Yes,1.98,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Mostbet,Both Teams To Score,No,1.78,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Cashwin,Both Teams To Score,Yes,1.95,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Cashwin,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,ToonieBet,Both Teams To Score,Yes,1.94,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,ToonieBet,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Betsson,Both Teams To Score,Yes,1.85,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Betsson,Both Teams To Score,No,1.88,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Megapari,Both Teams To Score,Yes,1.92,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Megapari,Both Teams To Score,No,1.8,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,BetUK,Both Teams To Score,Yes,1.82,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,BetUK,Both Teams To Score,No,1.9,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,BetVictor,Both Teams To Score,Yes,1.93,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,BetVictor,Both Teams To Score,No,1.77,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,William Hill,Both Teams To Score,Yes,1.85,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,William Hill,Both Teams To Score,No,1.85,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Vbet Sport,Both Teams To Score,Yes,1.94,2026-09-20T23:41:14.348958+00:00
1336368634,2026-08-24T17:30:00.000Z,119924,Vbet Sport,Both Teams To Score,No,1.86,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,ToonieBet,Both Teams To Score,Yes,1.89,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,ToonieBet,Both Teams To Score,No,1.89,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,1xBet,Both Teams To Score,Yes,1.79,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,1xBet,Both Teams To Score,No,1.94,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,Betano,Both Teams To Score,Yes,1.8,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,Betano,Both Teams To Score,No,1.95,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,William Hill,Both Teams To Score,Yes,1.83,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,William Hill,Both Teams To Score,No,1.95,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,20Bet,Both Teams To Score,Yes,1.85,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,20Bet,Both Teams To Score,No,1.96,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,888sport,Both Teams To Score,Yes,1.83,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,888sport,Both Teams To Score,No,1.95,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,LeoVegas Sport,Both Teams To Score,Yes,1.88,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,LeoVegas Sport,Both Teams To Score,No,1.86,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,Novibet,Both Teams To Score,Yes,1.84,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,Novibet,Both Teams To Score,No,1.93,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,DraftKings,Both Teams To Score,Yes,1.8,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,DraftKings,Both Teams To Score,No,2.0,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,TonyBet,Both Teams To Score,Yes,1.85,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,TonyBet,Both Teams To Score,No,1.96,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,Parimatch,Both Teams To Score,Yes,1.77,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,Parimatch,Both Teams To Score,No,1.93,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,1Bet,Both Teams To Score,Yes,1.8,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,1Bet,Both Teams To Score,No,1.91,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,Unibet,Both Teams To Score,Yes,1.88,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,Unibet,Both Teams To Score,No,1.86,2026-09-20T23:41:14.348958+00:00
1319124821,2026-08-24T18:45:00.000Z,115669,Vbet Sport,Both Teams To Score,Yes,1.8,2026-09-20T23:41:14.348958+00:00
