casa,familia,mercado,lado,match_id,cuota,prob_cuota,prob_casa,consenso,desviacion,valor
Freshbet,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,5.06,0.19762845849802374,0.1864951768488746,0.180967,0.005528176848874605,-0.08430698000000014
Freshbet,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.16,0.8620689655172414,0.8135048231511254,0.819033,-0.005528176848874633,-0.04992172000000006
Mystake,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,5.06,0.19762845849802374,0.1864951768488746,0.180967,0.005528176848874605,-0.08430698000000014
Mystake,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.16,0.8620689655172414,0.8135048231511254,0.819033,-0.005528176848874633,-0.04992172000000006
Vbet Sport,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,5.5,0.18181818181818182,0.1716867469879518,0.18182949999999998,-0.010142753012048172,6.22499999998194e-05
Vbet Sport,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.14,0.8771929824561404,0.8283132530120482,0.8181705,0.010142753012048145,-0.06728562999999999
Ivibet,Asian Handicap,Asian Handicap -1.25/+1.25,home,1321404650,5.4,0.18518518518518517,0.1780821917808219,0.180967,-0.002884808219178081,-0.02277819999999997
Ivibet,Asian Handicap,Asian Handicap -1.25/+1.25,away,1321404650,1.17,0.8547008547008548,0.8219178082191781,0.819033,0.0028848082191781366,-0.041731390000000035
22Bet,Asian Handicap,Asian Handicap -1/+1,home,1321404650,4.46,0.2242152466367713,0.21340388007054673,0.202401,0.011002880070546728,-0.09729154000000007
22Bet,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.21,0.8264462809917356,0.7865961199294532,0.797599,-0.011002880070546728,-0.03490521000000013
Powbet,Asian Handicap,Asian Handicap -1/+1,home,1321404650,5.0,0.2,0.1883116883116883,0.2027365,-0.014424811688311695,0.01368249999999982
Powbet,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.16,0.8620689655172414,0.8116883116883117,0.7972634999999999,0.014424811688311778,-0.07517434000000023
Jackbit,Asian Handicap,Asian Handicap -1/+1,home,1321404650,4.63,0.2159827213822894,0.2030981067125645,0.2027365,0.0003616067125645217,-0.061330005000000076
Jackbit,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.18,0.8474576271186441,0.7969018932874354,0.7972634999999999,-0.0003616067125644662,-0.05922907000000022
Fezbet,Asian Handicap,Asian Handicap -1/+1,home,1321404650,5.0,0.2,0.1883116883116883,0.2027365,-0.014424811688311695,0.01368249999999982
Fezbet,Asian Handicap,Asian Handicap -1/+1,away,1321404650,1.16,0.8620689655172414,0.8116883116883117,0.7972634999999999,0.014424811688311778,-0.07517434000000023
