match_id,arbitro,clima_status,clima_temp
1173651477,"Gillett, Jarred",cloudy,7.03
1173654881,"Harrington, Tony",cloudy,6.91
1173650626,"Attwell, Stuart",cloudy,7.76
1173648924,"Bankes, Peter",cloudy,8.4
1173649775,"Pawson, Craig",cloudy,6.53
1173648073,"Brooks, John",cloudy,8.29
1173652328,"Hooper, Simon",cloudy,6.98
1173655732,"Kavanagh, Christopher",cloudy,8.36
1173654030,"Jones, Robert",cloudy,6.88
1173653179,"Taylor, Anthony",clear night,5.0
1173642967,"Taylor, Anthony",cloudy,8.31
1173639563,"Oliver, Michael",cloudy,8.38
1173643818,"Bramall, Thomas",cloudy,5.02
1173642116,"Barrott, Samuel",wind,6.46
1173646371,"Brooks, John",cloudy,7.31
1173641265,"England, Darren",cloudy,8.45
1173647222,"Donohue, Matt",clear day,7.45
1173644669,"Tierney, Paul",clear day,7.45
1173640414,"Kavanagh, Christopher",cloudy,9.08
1173645520,"Madley, Andrew",cloudy,5.3
1173636159,"Hooper, Simon",rain,8.61
1173631904,"Brooks, John",cloudy,9.64
1173634457,"England, Darren",cloudy,9.98
1173638712,"Taylor, Anthony",cloudy,10.23
1173637010,"Barrott, Samuel",wind,9.89
1173637861,"Bankes, Peter",wind,11.43
1173631053,"Jones, Robert",cloudy,7.11
1173632755,"Oliver, Michael",cloudy,7.31
1173633606,"Bramall, Thomas",partly cloudy day,10.0
1173635308,"Pawson, Craig",cloudy,9.69
1173630202,"Salisbury, Michael",cloudy,10.0
1173625947,"Barrott, Samuel",wind,14.2
1173624245,"Hooper, Simon",rain,13.02
1173626798,"Taylor, Anthony",rain,9.77
1173627649,"Madley, Andrew",rain,10.25
1173625096,"Kavanagh, Christopher",rain,10.58
1173629351,"Jones, Robert",cloudy,11.02
1173623394,"Oliver, Michael",wind,11.81
1173628500,,,
1173622543,"Bankes, Peter",rain,10.17
1173619990,"Kitchen, Andrew",rain,5.27
1173619139,"Attwell, Stuart",cloudy,5.89
1173618288,"England, Darren",cloudy,5.35
1173621692,"Robinson, Tim",cloudy,6.04
1173614033,"Harrington, Tony",cloudy,7.14
1173616586,"Kirk, Thomas",cloudy,6.09
1173615735,"Madley, Andrew",cloudy,8.19
1173620841,"Bramall, Thomas",partly cloudy night,5.64
1173617437,"Pawson, Craig",partly cloudy night,7.81
1173614884,"Salisbury, Michael",clear night,8.3
1173607225,"Taylor, Anthony",clear night,6.71
1173613182,"England, Darren",clear day,7.96
1173605523,"Kavanagh, Christopher",partly cloudy day,7.21
1173610629,"Oliver, Michael",clear day,7.12
1173608076,"Jones, Robert",clear day,6.94
1173612331,"Attwell, Stuart",clear night,5.4
1173608927,"Pawson, Craig",rain,5.98
1173606374,"Barrott, Samuel",cloudy,8.59
1173609778,"Bankes, Peter",rain,6.44
1173611480,"Robinson, Tim",rain,7.01
1173602970,"Harrington, Tony",cloudy,5.65
1173597013,"Oliver, Michael",clear night,7.83
1173601268,"Jones, Robert",cloudy,7.47
1173603821,"Barrott, Samuel",cloudy,5.55
1173598715,"Brooks, John",rain,8.1
1173602119,"Madley, Andrew",cloudy,8.51
1173597864,"Bramall, Thomas",rain,10.83
1173604672,"Taylor, Anthony",cloudy,7.8
1173600417,"England, Darren",rain,7.93
1173599566,"Bankes, Peter",cloudy,5.86
1173592758,"Kavanagh, Christopher",rain,12.65
1173591056,"Robinson, Tim",cloudy,14.0
1173588503,"Brooks, John",cloudy,13.11
1173589354,"Attwell, Stuart",cloudy,14.18
1173593609,"Gillett, Jarred",cloudy,13.05
1173590205,"Kitchen, Andrew",clear night,10.09
1173594460,"Pawson, Craig",clear night,11.51
1173596162,"Salisbury, Michael",partly cloudy day,13.99
1173591907,"Madley, Andrew",clear day,12.89
1173595311,"Barrott, Samuel",cloudy,13.22
1173585950,"Bramall, Thomas",wind,14.61
1173584248,"Taylor, Anthony",cloudy,9.68
1173587652,"Jones, Robert",clear day,11.62
1173583397,"Attwell, Stuart",clear night,7.73
1173586801,"Gillett, Jarred",partly cloudy night,11.47
1173579993,"Oliver, Michael",wind,12.59
1173581695,"Bankes, Peter",partly cloudy day,13.28
1173580844,"Kavanagh, Christopher",cloudy,9.21
1173582546,"Brooks, John",partly cloudy day,13.55
1173585099,"England, Darren",cloudy,11.83
1173575738,"Pawson, Craig",rain,11.64
1173573185,"Barrott, Samuel",cloudy,11.89
1173572334,"Oliver, Michael",cloudy,9.74
1173571483,"Bramall, Thomas",cloudy,10.85
1173579142,"Bankes, Peter",cloudy,9.87
1173574036,"Hooper, Simon",clear night,8.12
1173577440,"Taylor, Anthony",cloudy,8.88
1173578291,"Harrington, Tony",wind,8.7
1173574887,"Madley, Andy",partly cloudy day,11.37
1173576589,"Attwell, Stuart",cloudy,8.73
1173570632,,cloudy,15.3
1173566377,"Oliver, Michael",rain,14.81
1173569781,"Hooper, Simon",rain,15.42
1173565526,"Taylor, Anthony",cloudy,14.26
1173568930,"Jones, Robert",cloudy,12.98
1173562973,"Pawson, Craig",cloudy,14.45
1173567228,"Harrington, Tony",cloudy,13.86
1173563824,"Robinson, Tim",cloudy,13.31
1173564675,"Gillett, Jarred",cloudy,15.04
1173568079,"Kavanagh, Chris",cloudy,12.67
1173557016,,cloudy,15.93
1173562122,,,
1173561271,,wind,14.2
1173558718,,wind,14.23
1173555314,,cloudy,14.74
1173557867,,wind,13.23
1173560420,,rain,12.22
1173554463,,,
1173559569,,rain,11.36
1173556165,"Hooper, Simon",rain,16.94
1173549357,"Barrott, Samuel",cloudy,13.9
1173551910,"Gillett, Jarred",partly cloudy day,15.61
1173545953,"Madley, Andy",clear day,16.1
