config,n_extra,mercado,n,sigmas,acierto_modelo,acierto_mercado,acierto_dif
base+elo+rotacion+calidad_plantilla,2,mas_4_5_tarjetas,201,-2.000944842710809,0.6616915422885572,0.6467661691542289,0.01492537313432829
base+elo+h2h+h2h_profundo+tabla,3,resultado,212,-2.7599811010222166,0.49056603773584906,0.5141509433962265,-0.02358490566037741
base+elo+h2h+h2h_profundo+tabla,3,mas_2_5,212,-1.2629593722327916,0.6226415094339622,0.6556603773584906,-0.03301886792452835
base+elo+h2h+h2h_profundo+tabla,3,ambos_marcan,212,-2.1525769008843954,0.5377358490566038,0.5849056603773585,-0.047169811320754707
base+elo+h2h+h2h_profundo+tabla,3,mas_9_5_corners,212,-1.0393540801030967,0.5613207547169812,0.5849056603773585,-0.023584905660377298
base+elo+h2h+h2h_profundo+tabla,3,mas_4_5_tarjetas,201,-1.7362382771139508,0.6567164179104478,0.6467661691542289,0.00995024875621886
base+elo+h2h+h2h_profundo+boxscore,3,resultado,212,-3.1012424444049294,0.4669811320754717,0.5141509433962265,-0.04716981132075476
base+elo+h2h+h2h_profundo+boxscore,3,mas_2_5,212,-1.4919266909447078,0.5707547169811321,0.6556603773584906,-0.08490566037735847
base+elo+h2h+h2h_profundo+boxscore,3,ambos_marcan,212,-2.389849589668171,0.5283018867924528,0.5849056603773585,-0.05660377358490565
base+elo+h2h+h2h_profundo+boxscore,3,mas_9_5_corners,212,-1.345599417387118,0.5660377358490566,0.5849056603773585,-0.018867924528301883
base+elo+h2h+h2h_profundo+boxscore,3,mas_4_5_tarjetas,201,-2.1061373193951525,0.6467661691542289,0.6467661691542289,0.0
base+elo+h2h+h2h_profundo+arbitro,3,resultado,212,-2.867297428886635,0.46226415094339623,0.5141509433962265,-0.05188679245283023
base+elo+h2h+h2h_profundo+arbitro,3,mas_2_5,212,-0.8721138723367924,0.5801886792452831,0.6556603773584906,-0.07547169811320753
base+elo+h2h+h2h_profundo+arbitro,3,ambos_marcan,212,-1.6715147914925714,0.5518867924528302,0.5849056603773585,-0.03301886792452824
base+elo+h2h+h2h_profundo+arbitro,3,mas_9_5_corners,212,-1.5076201927549742,0.5330188679245284,0.5849056603773585,-0.05188679245283012
base+elo+h2h+h2h_profundo+arbitro,3,mas_4_5_tarjetas,201,-1.749957323059215,0.6616915422885572,0.6467661691542289,0.01492537313432829
base+elo+h2h+h2h_profundo+clima,3,resultado,199,-2.831147822953838,0.4723618090452261,0.5125628140703518,-0.040201005025125636
base+elo+h2h+h2h_profundo+clima,3,mas_2_5,199,-1.0487957470048823,0.5879396984924623,0.6432160804020101,-0.055276381909547756
base+elo+h2h+h2h_profundo+clima,3,ambos_marcan,199,-2.2577195048529592,0.5728643216080402,0.592964824120603,-0.02010050251256279
base+elo+h2h+h2h_profundo+clima,3,mas_9_5_corners,199,-1.7048225360795686,0.5226130653266332,0.5829145728643216,-0.06030150753768837
base+elo+h2h+h2h_profundo+clima,3,mas_4_5_tarjetas,192,-1.549028105734148,0.6927083333333334,0.6458333333333334,0.046875
base+elo+h2h+h2h_profundo+rotacion,3,resultado,212,-2.7573507843007947,0.45754716981132076,0.5141509433962265,-0.0566037735849057
base+elo+h2h+h2h_profundo+rotacion,3,mas_2_5,212,-1.4071110569577132,0.589622641509434,0.6556603773584906,-0.06603773584905659
base+elo+h2h+h2h_profundo+rotacion,3,ambos_marcan,212,-2.3255075483942833,0.5047169811320755,0.5849056603773585,-0.08018867924528295
base+elo+h2h+h2h_profundo+rotacion,3,mas_9_5_corners,212,-1.176099894222745,0.5566037735849056,0.5849056603773585,-0.028301886792452824
base+elo+h2h+h2h_profundo+rotacion,3,mas_4_5_tarjetas,201,-1.2606203447179454,0.6766169154228856,0.6467661691542289,0.02985074626865669
base+elo+h2h+h2h_profundo+calidad_plantilla,3,resultado,212,-2.2336004793570696,0.4481132075471698,0.5141509433962265,-0.06603773584905664
base+elo+h2h+h2h_profundo+calidad_plantilla,3,mas_2_5,212,-1.2784873162599042,0.589622641509434,0.6556603773584906,-0.06603773584905659
