y,pm,liga,28,28 + impacto xG,28 + impacto goles,28 + impacto xG y goles,28 + lesiones
0,0.5476190476190476,La Liga,0.5100225,0.4592959,0.50795156,0.46779332,0.48766923
1,0.5358090185676393,Serie A,0.54021347,0.50482893,0.5478182,0.5160809,0.53645074
1,0.526595744680851,Ligue 1,0.5170725,0.5289353,0.53354764,0.5295619,0.51653516
0,0.41085271317829464,Serie A,0.41990456,0.40912214,0.39377177,0.3921154,0.42062885
0,0.6161616161616161,Premier League,0.6794805,0.65973526,0.6731176,0.64727604,0.6828142
1,0.4588859416445623,Bundesliga,0.42212048,0.39988503,0.43759155,0.41772994,0.4104909
1,0.5241935483870968,Segunda,0.52632356,0.5152654,0.5206481,0.5225832,0.52967274
1,0.47074468085106375,La Liga,0.41831914,0.39606035,0.43755674,0.4120621,0.40974694
0,0.6938775510204082,Ligue 1,0.69609284,0.6525642,0.71149796,0.66817075,0.6947399
0,0.46153846153846156,Ligue 1,0.5560764,0.54639035,0.5215066,0.5179666,0.54691565
0,0.5319148936170213,Ligue 1,0.5393437,0.5305888,0.53929436,0.51913476,0.53895235
1,0.5396825396825397,Ligue 1,0.62967336,0.6180138,0.66721964,0.6608201,0.61921704
1,0.6327543424317617,Bundesliga,0.6137282,0.5678872,0.594,0.5580245,0.62320507
1,0.6055979643765903,Premier League,0.64980096,0.64020646,0.654935,0.64646137,0.63220453
0,0.5106382978723405,Serie A,0.32520172,0.3145811,0.30415812,0.3043087,0.33181372
1,0.5519999999999999,Segunda,0.5764569,0.57487935,0.5497066,0.556466,0.5491761
1,0.38071065989847713,Segunda,0.49753022,0.44421005,0.4800005,0.4399225,0.49387878
0,0.421875,La Liga,0.50991124,0.4945128,0.4664054,0.46072477,0.50605345
1,0.5358090185676393,Ligue 1,0.650168,0.6412343,0.6530574,0.63613766,0.653597
0,0.49066666666666664,Serie A,0.53113365,0.4911459,0.55235267,0.51701117,0.5137645
0,0.40992167101827676,Segunda,0.4183442,0.40777493,0.43258065,0.41669017,0.42263636
1,0.7133479212253829,La Liga,0.7156432,0.676778,0.7234421,0.6846386,0.7744056
0,0.41818181818181815,Serie A,0.39919874,0.39945328,0.38426837,0.3856619,0.3953092
0,0.47708894878706204,Segunda,0.49200335,0.46695384,0.503535,0.4789265,0.4846703
0,0.4511873350923483,Serie A,0.51618534,0.48076448,0.53810847,0.50816137,0.5115713
1,0.41666666666666663,La Liga,0.4005556,0.3749709,0.40362644,0.38957864,0.41282278
1,0.4312169312169312,Segunda,0.37541386,0.33958846,0.38371602,0.36029997,0.36357135
0,0.5526315789473685,Bundesliga,0.6269928,0.6233487,0.6437892,0.63755924,0.62649
1,0.3688118811881188,Serie A,0.38677537,0.37219375,0.3574911,0.3549732,0.37148127
0,0.5411140583554377,Ligue 1,0.4346369,0.40015307,0.45147404,0.41963124,0.4382685
1,0.5278514588859416,La Liga,0.59279424,0.55155146,0.60281837,0.5627595,0.67890656
1,0.5891472868217055,Premier League,0.64591247,0.59619087,0.6244375,0.5993197,0.6396828
1,0.5,La Liga,0.5388254,0.5142355,0.4894587,0.47741088,0.62209773
1,0.39185750636132316,Serie A,0.41642419,0.36564052,0.45623332,0.4283937,0.41009268
1,0.5854922279792746,Bundesliga,0.6262199,0.62685335,0.59212744,0.601919,0.6289034
1,0.5305039787798408,Bundesliga,0.47502747,0.48219594,0.42450064,0.42121762,0.48638934
1,0.4986666666666667,Bundesliga,0.5569019,0.5562664,0.53197354,0.5095173,0.55353564
1,0.7222222222222222,Bundesliga,0.68387944,0.67504686,0.6532647,0.6337505,0.6896744
1,0.5729166666666667,Premier League,0.55581975,0.5309522,0.5544529,0.5544206,0.542161
1,0.4748010610079576,Premier League,0.4784614,0.43909734,0.5450634,0.5118114,0.48750004
0,0.4840425531914894,Premier League,0.60330284,0.5816546,0.54017967,0.53260475,0.5942194
1,0.421875,Premier League,0.39922133,0.39698547,0.3619837,0.34819302,0.40018386
0,0.6783216783216783,La Liga,0.5830091,0.53970015,0.5952992,0.55241936,0.5697035
1,0.5596816976127321,Segunda,0.5593609,0.5493,0.5707595,0.5685204,0.54367983
1,0.47340425531914887,Ligue 1,0.4940787,0.47777677,0.4706319,0.4631556,0.48540974
0,0.42931937172774864,Serie A,0.3485856,0.3340656,0.316665,0.30794066,0.34151712
1,0.39285714285714285,La Liga,0.4855879,0.43985882,0.46512127,0.4241287,0.48022097
1,0.6045918367346939,Bundesliga,0.61427057,0.5740947,0.61562747,0.57018673,0.6011806
0,0.4025974025974026,Segunda,0.434488,0.39297023,0.41958076,0.3789406,0.43838534
1,0.596401028277635,Premier League,0.6073852,0.61311567,0.59141856,0.5874774,0.597188
0,0.44680851063829785,Segunda,0.43668193,0.44087824,0.43276852,0.4282136,0.4346907
1,0.5345744680851062,La Liga,0.456623,0.4297932,0.4792943,0.44846717,0.54801166
