match_id,local_formacion,local_ids,visitante_formacion,visitante_ids
1336368634,4-4-2,7510160|29182853|29397466|7652967|67788238|10938333|29402135|7512736|7512092|7659568|7526260,4-3-3,441455|10353903|252441|118328|81241559|29399237|17183201|26064927|58402904|30917306|7603379
1336365230,5-4-1,1826860|26076197|20389194|50126699|26091492|71816941|72167277|30158352|7564256|7596456|29668751,4-2-3-1,29417752|29254015|99813|367556|91448315|69776910|47763541|241010|54840940|62279462|1180928
1336366932,3-5-2,7606921|29129401|43265362|7607404|10347302|62470247|4006156|30266061|26122243|31477586|7647493,4-2-3-1,29599682|77677663|26679947|7524328|29251439|83459978|52169628|7614327|252924|7600803|16881487
1336363528,4-4-2,4823|90797|4894393|7615615|47622827|1241786|54960885|8204|52153689|149401|3021641,4-4-2,44857813|29691774|54204185|26880|50195607|29385713|3332210|7654255|522760|29060010|3044020
1336366081,4-4-2,453047|72565430|7611751|45410848|46142915|44071006|29575693|7534793|46052272|62547849|50391544,4-2-3-1,117684|45772454|58201171|184499|36540|121870|102550|122836|20884752|47006358|44912
1336370336,5-4-1,7652001|147952|5938478|7641697|53721346|26110329|50827693|398790|7803019|87400775|13517,3-4-3,4953319|366912|53085396|61845889|7658280|7520625|53693976|25436222|53085074|19760328|56658147
1336362677,4-2-3-1,7610624|7611107|29599843|7610785|29331295|70460677|53501581|4912264|20672232|7614488|7614005,4-5-1,89831|1838935|54563376|28163401|19278616|54974087|16876335|26102440|3381798|88034632|52733450
1336364379,4-3-3,7565544|118650|31411254|251475|231833|7622055|50959713|273371|21914991|7660856|1605485,4-4-2,7610463|3857|7617708|65216907|32046238|7618191|149884|394443|5290936|9945768|1180606
1336369485,4-3-3,1832173|50555120|53660166|3042249|274337|7613039|6690026|21179060|26232045|8526|20701856,4-4-2,7623987|3017294|17188353|1003667|53350563|29584065|26192600|22379315|62632696|7596295|98042
1336355018,4-4-2,4823|62286063|4894393|7615615|54960885|54191788|8204|52284904|3021641|29615782,4-4-2,7541877|88776037|2329824|50894669|29800610|9814|63494046|54341357|30630887|26087628|60600715
1336357571,4-4-2,28841533|20451179|80080427|51441586|7625114|57115548|55845419|26076519|26101796|92532167|236019,5-4-1,1826860|26076197|26091492|50126699|20389194|71816941|72167277|30158352|7564256|43724534|29668751
1336358422,4-4-2,453047|72565430|7611751|45410848|46142915|44071006|29575693|7534793|46052272|50391544|62547849,4-3-3,441455|10353903|252441|118328|81241559|29399237|17183201|29426124|74588073|30917306|7533344
1336359273,4-2-3-1,29599682|77677663|66825458|7524328|29251439|83459978|52169628|7614327|252924|7600803|16881487,4-4-2,44857813|29691774|54204185|26880|50195607|29385713|7654255|3332210|522760|29060010|3044020
1336360975,4-2-3-1,89831|1838935|47867225|28163401|19278616|88048156|3381798|54974087|16876335|88034632|29849232,4-2-3-1,1832173|3303874|6690026|3042249|274337|7613039|7584703|7654577|20701856|21179060|19747931
1336354167,4-4-2,7623987|29584065|17188353|1003667|3017294|235375|26192600|22379315|53350563|7596295|53200994,3-5-2,7606921|29129401|7537047|7607404|75908112|55256159|4006156|30266061|3025988|31477586|62470247
1319158861,3-4-2-1,3577735|7378140|26104855|26235426|7523845|43946|121548|273210|228291|2891|6695339,4-3-3,9090053|5078577|32718413|46945983|26034176|9106314|7433524|281582|44735936|42523796|1072736
1319163116,4-2-3-1,5048148|3577896|310723|4910171|26112422|7651196|66969|63685153|4236869|26015339|3397898,4-3-3,4897291|42642131|46651675|45320849|14719096|1625771|264516|28778743|44773449|10757691|23805453
1319164818,3-4-2-1,29102836|68946311|3395644|4897774|14708792|49722750|7807205|92888782|31354904|77871024|31379859,3-4-2-1,5979211|62327762|3053841|45374140|14412874|154231|2556995|5943630|46491963|9079910|10748675
1319162265,4-2-3-1,52771768|61100298|29074500|56931847|30818291|5153925|45256610|50111565|1217636|53921469|50595048,4-2-3-1,1380568|54186314|3175074|62195259|31789282|26124980|7580839|47499340|56356111|64552782|4322199
1319161414,4-2-3-1,142156|68308751|5094516|26162332|53200511|141190|55970838|61664120|72329243|50084517|47039846,4-2-3-1,5016270|7608048|38167780|211708|4997916|7637833|20998257|87738|101423|35413|46369120
1319166520,3-5-2,26153799|67911081|124768|60185979|238756|4627938|163408|17251787|44338588|9248960|4091808,4-3-3,4289838|6694051|56488131|2367015|55166965|6238743|53631830|5019007|4981011|21530523|46122468
1319159712,3-4-2-1,89670|429863|291081|4898579|56189315|3565821|125412|1047137|52153850|141029|40243,3-5-2,7565222|4992603|959|4017587|4992764|47327|53123|4919992|43552103|35091|3463103
1319160563,3-4-3,482832|32851077|6320048|66986136|21728|5035107|7215208|20682375|4900672|4900994|140707,3-5-2,12927810|7788046|2307123|19717502|75837594|5940249|4960564|6744766|70372127|4896808|135716
1319165669,3-4-2-1,23127482|51574089|3026471|3325770|3543281|7735721|55312992|1382500|87255|126700|3088939,4-3-1-2,4947845|51800938|66840109|400078|6756358|4920475|29456|63463617|4911459|100899498|21723240
1319163967,3-4-2-1,31125962|31116624|55065052|72285451|6653318|65790389|9153165|4944142|61291405|265643|54828221,4-3-3,99330|21819840|306376|46778060|61574282|73294599|145376|6302177|356769|34769|4916611
1319152904,3-5-2,7565222|4992603|959|100940|1648472|234731|53123|4919992|43552103|55675242|3463103,3-4-2-1,23127482|3325770|3026471|51574089|3543281|55312992|7735721|1382500|87255|53501742|3088939
1319157159,5-3-2,12927810|70372127|63858711|19717502|7788046|48841436|5940249|4960564|55253583|135716|4896808,3-4-2-1,89670|429863|1120|4898579|96377169|125412|57459122|1047137|52153850|141029|40243
